Symbols,Genes ,b05 Neutrophil1 Exp2,b07 Neutrophil3 Exp2,b10 Monocyte1 Exp2,b11 Monocyte2 Exp2,a01 brain microglia1 Exp1 m,a02 brain microglia2 Exp1 m,a06 peritoneum Mac1 Exp1 m,a07 peritoneum Mac2 Exp1 m,b08 Spleen Mac1 Exp2,b09 Spleen Mac2 Exp2,b04 Kupffer Exp2,b15 Kupffer2 Exp2,a12 LI Mac2 Exp1 m,a13 LI Mac3 Exp1 m,a10 SI Mac3 Exp1 m,a11 SI Mac4 Exp1 m,b02 lung Exp2,b17 lung mac2 Exp2
F930015N05RIK,NR_028445,0,0,0,0,0,0,1.26001576,0.902686859,0,0,0,0,4.715868797,6.979498755,3.931837493,2.655000396,0,0
OPLAH,NM_153122,1.377929067,2.19798054,1.704867622,0,1.879228121,12.97844392,1.26001576,0,53.81975984,64.27627123,141.3859734,81.76014542,47.15868797,45.36674191,23.59102496,45.13500674,39.19196623,26.56767064
RTKN,NM_001136227,0,0,0,0,0,0,0,0,0,1.460824346,1.039602746,20.18769023,11.78967199,13.95899751,11.79551248,1.327500198,0,0
ELOVL1,NM_019422,399.5994294,459.377933,148.3234831,214.050483,342.0195181,373.5937785,206.6425847,233.7958966,162.4559418,134.3958399,220.3957821,199.8581333,213.393063,217.5277112,135.367548,134.7412701,203.545373,137.2662983
ZC3H14,NM_001160108,31.69236854,12.08889297,23.0157129,17.64573874,10.8055617,31.51907809,6.300078801,20.31045433,8.471628864,10.22577042,10.91582883,13.12199865,34.19004878,28.79043237,19.0974964,18.58500277,5.373092145,11.06986277
ICK,NM_001163780,0,0,0,0,2.818842182,5.098674397,0,2.708060578,0,2.921648692,4.158410982,0,1.178967199,0.664714167,1.123382141,0,0.632128488,0
TATDN3,NM_001163421,1.377929067,8.791922162,10.22920573,18.41294477,11.27536873,11.1243805,28.98036249,19.8591109,24.91655548,21.91236519,16.63364393,11.10322963,18.86347519,9.887623237,8.425366057,18.58500277,11.37831278,11.06986277
5430435G22RIK,NM_145509,23.42479414,21.9798054,81.83364586,97.43516608,14.09421091,12.97844392,289.8036249,293.3732293,59.79973316,86.18863643,398.1678516,346.2188874,603.631206,499.034161,688.0715613,771.2776151,141.5967812,109.5916414
USP22,NM_001004143,11.02343254,17.58384432,8.524338111,9.206472386,47.9203171,41.71642688,20.16025216,8.124181734,4.983311097,4.382473039,6.237616473,10.09384511,8.252770394,12.21412282,10.67213034,9.956251486,34.76706682,8.855890214
BSCL2,NM_008144,216.3348635,138.472774,369.1038402,474.9005339,205.7754793,183.5522783,161.2820173,241.0173914,212.2890527,239.5751928,154.9008091,163.5202908,234.6144726,196.5892149,234.7868674,192.4875287,182.6851329,151.6571199
SALL3,NM_178280,0,0,0,0,241.4808136,258.6418467,1.26001576,1.805373719,0,0,0,0,0,0,0,0,0,0
NTM,NM_172290,0,0,0,0,12.21498279,6.489221959,0,0,1.993324439,1.460824346,2.079205491,4.037538046,1.178967199,0,0,0,0,0
COQ2,NM_027978,4.822751735,2.19798054,18.75354384,13.80970858,12.68478982,20.85821344,22.0502758,18.50508062,15.4482644,21.91236519,18.71284942,25.23461279,10.61070479,15.41305975,13.19974016,8.960626338,19.59598312,2.767465692
PCF11,NM_029078,15.15721974,17.58384432,16.19624241,10.74088445,6.577298425,14.83250734,13.86017336,6.318808015,6.976635535,1.460824346,2.079205491,18.16892121,3.536901597,4.65299917,3.370146423,3.318750495,1.896385463,5.534931383
LSM2,NM_030597,8.267574402,2.19798054,23.0157129,21.4817689,10.33575467,4.635158542,11.34014184,4.513434296,8.969959974,5.843297385,19.75245217,14.13138316,14.14760639,20.93849627,16.85073211,13.93875208,23.38875404,40.95849224
SUFU,NM_015752,0,0,0,0,0,0,1.26001576,1.805373719,0.996662219,0,0,0,0,0,0,0,0,0
PDE6H,NM_023898,43.40476561,17.58384432,0,0,0,0,0,0,0.996662219,0,0,0,1.178967199,4.65299917,2.246764282,3.385125505,0,0
PUS1,NM_019700,12.4013616,4.395961081,3.409735244,11.50809048,2.818842182,11.1243805,5.040063041,12.63761603,20.26546513,5.843297385,14.03463707,14.13138316,11.78967199,2.908124481,6.45944731,3.982500595,12.01044127,15.49780787
