"RNA-seq counts from 3' sequencing, normalized to 10M reads",,,,,,,,,,,,,,,,,
UNIQUD,NAME,LT-HSC,HSC,MPP,CLP,CMP,GMP,MF,Granulocyte,Mono,B,CD4,CD8,NK,MEP,EryA,EryB
NM_029455,Fam227b,0,1.4252,0.5251,1.1356,0.3491,1.0994,0.2785,0.098,0,0,0,0,0,4.0201,0.5025,0
NR_106086,Mir7227,0,0,0,0,0.3495,0,0,0,0,0,0,0,0,0,0,0
NM_144958,Eif4a1,1148.006,706.8402,505.3783,664.7214,521.2949,564.017,238.9424,98.4719,142.0261,284.4682,193.2536,189.5978,247.3067,1203.5938,313.4086,101.412
NM_028889,Efhd1,38.588,4.2752,6.8227,19.6865,2.095,0,0,0.4304,0,0,1.3239,0,0,0.8035,0,0.948
NM_029777,Rhbdd1,125.412,161.0328,43.7002,52.6303,81.7149,82.4548,23.759,39.5595,38.3087,278.9,174.7232,113.0828,298.4695,142.3201,38.6735,16.112
NM_172405,Fam175a,299.06,128.2577,59.0606,81.0289,86.2535,59.0036,19.1189,8.1772,18.146,156.1664,87.3621,64.0282,72.494,180.106,41.6865,15.164
NM_027154,Tmbim1,192.942,236.5634,93.181,71.9504,110.0006,108.8399,69.0341,19.3883,57.3537,8.3657,18.5281,7.4838,127.9232,133.461,9.041,4.739
NR_102758,Farsb,549.885,189.5359,93.9616,177.211,215.7954,265.6909,54.6522,19.78,49.9602,278.8768,195.9005,170.4658,144.9672,881.1007,70.313,21.799
NM_001130188,Sgce,115.765,78.3794,17.7149,16.2804,6.6348,1.466,1.4851,0.0782,0.6719,2.7893,0,3.327,4.2632,16.0733,0,0
NM_207141,Olfr955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001162368,Mgat4c,0,28.5012,6.037,0,0.698,1.0993,0.6498,0.3927,1.1203,0,0,0,0,3.214,1.5071,0.948
NM_199449,Zhx2,48.236,61.2784,15.3533,26.506,16.7617,13.9256,14.1968,58.466,12.7691,443.4378,270.0344,283.5365,362.4543,22.5117,6.0271,4.739
NM_001007583,Best3,0,5.7001,8.0032,0.7571,0,0.7331,0,0.0391,0.6723,0,1.3234,0,0,0.8035,1.0044,0
NM_001286652,Tmem176b,5547.088,3189.3577,1136.6476,909.929,1242.0406,904.0839,374.2515,436.5812,1430.2886,39.0394,59.5624,29.9355,89.5394,151.9566,23.6057,16.112
NM_008117,Gh,9.647,0,1.312,1.8939,0,0,0.9278,0.4503,0,50.206,0,0,0,0,0.5025,0
NM_172420,Ppp1r1c,0,12.8258,2.2309,0,0.3491,0.3664,0.0929,0.0784,0.4481,0,0,0,0,0,0.5025,0
NM_001168290,Sugp2,212.236,149.6338,44.8885,53.0075,63.9017,38.1096,13.4559,10.4875,12.0977,150.6016,91.3349,78.9925,102.3324,103.7218,50.2262,32.224
NM_001004147,Fbll1,0,0,0,0,0,0,0,0,0,0,0,8.3159,0,0,0,0
NM_010910,Nefl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_105873,Mir6908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_037692,4933407L21Rik,0,0,0,0.3785,0,0,0,0,0,0,1.3234,0,0,0,0,0
NM_008555,Masp1,0,9.9758,4.9856,0,0,0,0,0.0782,0,0,1.3237,3.3273,0,0,0,0
NM_001146318,Cnp,1466.361,644.1428,286.7296,480.6129,288.4279,227.2085,142.4259,88.5469,146.0714,1246.573,472.561,551.3242,464.7541,931.8626,69.3099,32.224
NM_001161797,Phactr4,405.179,347.7171,120.3466,137.0633,180.8896,156.846,52.8973,28.3795,58.6922,384.8498,83.3925,103.1049,187.626,642.4734,277.236,124.159
NM_145597,Tmem161a,164.001,161.0349,98.8219,128.3766,134.7838,141.8211,44.5464,20.0244,44.3556,164.5345,59.5621,87.3064,166.281,411.667,84.3781,32.224
NM_001033438,Gm906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_038141,1700008K24Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_144839,Ube2e2,135.06,403.2969,28.0827,12.4929,35.2743,25.6528,13.7318,151.0647,4.032,78.0903,47.6531,9.1488,12.793,34.581,3.0141,1.896
NM_001081287,Mpp7,135.06,198.0875,64.3021,102.2317,85.2066,87.2188,26.2659,22.6196,15.0083,105.9813,62.2158,103.1078,157.7741,193.7755,34.6543,12.321
NM_021483,Pex5l,0,22.8006,7.741,2.2727,0.349,0,0.0929,0,0.224,0,0,0,0,0.8035,0,0
NR_002862,Gm5088,0,0,0,0,0,0,0.0928,0,0,0,0,0,0,2.4131,0.5019,0.948
NM_025701,Trappc5,704.239,656.9681,359.7702,384.3668,560.1009,458.8094,149.2217,97.7636,300.434,624.6679,117.8051,183.7695,396.5369,760.5675,99.9435,20.851
NM_134027,Med1,443.767,354.847,169.1733,237.429,264.3493,259.4554,73.6823,64.735,103.7285,538.2501,250.176,286.8612,469.0345,601.4267,179.7915,85.3
